1	9.957022047239904694e+00
1.5	9.918741072319145147e+00
3	9.846873180456322316e+00
3.8333	9.809969694409257812e+00
4.8333	9.774039870635137461e+00
5.8333	9.715149975626408363e+00
6.8333	9.651092303101135528e+00
7.8333	9.606112366375095135e+00
8.8333	9.559566091396197507e+00
9.8333	9.510168121740864677e+00
10.833	9.468199928845253410e+00
11.833	9.393184484269228918e+00
12.833	9.354774413835588831e+00
13.833	9.313233211669913914e+00
14.833	9.265063942549559783e+00
15.833	9.212584420591943157e+00
16.833	9.159383177293356937e+00
17.833	9.119880542431188175e+00
18.833	9.047625162626424355e+00
19.833	8.994818024090399433e+00
