1	9.992707970301463405e+00
1.5	9.972425758260319739e+00
3	9.945179064215531994e+00
3.8333	9.916503122139108228e+00
4.8333	9.900328920499561036e+00
5.8333	9.906280589364849121e+00
6.8333	9.861509515213924715e+00
7.8333	9.836498374618056317e+00
8.8333	9.811627540817495330e+00
9.8333	9.804778680457175710e+00
10.833	9.785714941762867269e+00
11.833	9.784873314956200829e+00
12.833	9.732641697704186967e+00
13.833	9.733914817990253709e+00
14.833	9.710225635826178703e+00
15.833	9.682266354412654152e+00
16.833	9.655206661370501209e+00
17.833	9.643882561214008220e+00
18.833	9.610845264707380764e+00
19.833	9.616009202502510789e+00
