1	9.966035786811767494e+00
1.5	9.930567766771275728e+00
3	9.880034920116804287e+00
3.833	9.823760987182593496e+00
4.833	9.796247763228544514e+00
5.833	9.755050157738901717e+00
6.833	9.718859568222374179e+00
7.833	9.697299436325819144e+00
8.833	9.656213112969828316e+00
9.833	9.615487858163113799e+00
10.83	9.576245218592790209e+00
11.83	9.523440439140458125e+00
12.83	9.474868828099154427e+00
13.83	9.424631717877124615e+00
14.83	9.415064360913977026e+00
15.83	9.393049486935673542e+00
16.83	9.319987786150409903e+00
17.83	9.295055771795986743e+00
18.83	9.244556903912531709e+00
19.83	9.204045557914126263e+00
